year,month,working-age population,employment (in thousands),annual working-age population change,annual employment change
1976,January,5696.68619246862,2723.016,n/a,n/a
1976,February,5695.441422594142,2722.421,n/a,n/a
1976,March,5684.615866388309,2722.931,n/a,n/a
1976,April,5691.647181628393,2726.299,n/a,n/a
1976,May,5688.918750000001,2730.681,n/a,n/a
1976,June,5686.1725571725565,2735.049,n/a,n/a
1976,July,5680.458506224067,2737.981,n/a,n/a
1976,August,5671.134575569358,2739.158,n/a,n/a
1976,September,5671.302277432713,2739.239,n/a,n/a
1976,October,5670.7598343685295,2738.977,n/a,n/a
1976,November,5659.29132231405,2739.097,n/a,n/a
1976,December,5650.086597938144,2740.292,n/a,n/a
1977,January,5643.242798353909,2742.616,-0.94,0.72
1977,February,5637.439425051334,2745.433,-1.02,0.85
1977,March,5642.712525667351,2748.001,-0.74,0.92
1977,April,5634.553278688524,2749.662,-1.0,0.86
1977,May,5624.00408997955,2750.138,-1.14,0.71
1977,June,5622.351738241308,2749.33,-1.12,0.52
1977,July,5619.269938650306,2747.823,-1.08,0.36
1977,August,5606.342857142858,2747.108,-1.14,0.29
1977,September,5607.661224489796,2747.754,-1.12,0.31
1977,October,5599.4908350305495,2749.35,-1.26,0.38
1977,November,5593.0243902439015,2751.768,-1.17,0.46
1977,December,5587.750507099391,2754.761,-1.1,0.53
1978,January,5584.688259109312,2758.836,-1.04,0.59
1978,February,5584.220202020202,2764.189,-0.94,0.68
1978,March,5573.730382293762,2770.144,-1.22,0.81
1978,April,5574.204819277109,2775.954,-1.07,0.96
1978,May,5562.76,2781.38,-1.09,1.14
1978,June,5560.948103792415,2786.035,-1.09,1.33
1978,July,5557.083665338645,2789.656,-1.11,1.52
1978,August,5550.89264413519,2792.099,-0.99,1.64
1978,September,5554.978131212723,2794.154,-0.94,1.69
1978,October,5549.196428571428,2796.795,-0.9,1.73
1978,November,5544.6871287128715,2800.067,-0.86,1.76
1978,December,5538.940711462451,2802.704,-0.87,1.74
1979,January,5539.667984189724,2803.072,-0.81,1.6
1979,February,5535.339920948617,2800.882,-0.88,1.33
1979,March,5528.268774703557,2797.304,-0.82,0.98
1979,April,5532.465346534654,2793.895,-0.75,0.65
1979,May,5528.572277227723,2791.929,-0.61,0.38
1979,June,5528.788118811881,2792.038,-0.58,0.22
1979,July,5523.098814229249,2794.688,-0.61,0.18
1979,August,5521.473372781065,2799.387,-0.53,0.26
1979,September,5521.379921259842,2804.861,-0.6,0.38
1979,October,5520.3300589390965,2809.848,-0.52,0.47
1979,November,5515.801960784314,2813.059,-0.52,0.46
1979,December,5517.662745098039,2814.008,-0.38,0.4
1980,January,5515.350980392157,2812.829,-0.44,0.35
1980,February,5520.377210216109,2809.872,-0.27,0.32
1980,March,5513.013752455795,2806.124,-0.28,0.32
1980,April,5516.720472440945,2802.494,-0.28,0.31
1980,May,5522.214990138067,2799.763,-0.12,0.28
1980,June,5519.635108481262,2798.455,-0.17,0.23
1980,July,5518.816568047338,2798.04,-0.08,0.12
1980,August,5529.640316205534,2797.998,0.15,-0.05
1980,September,5530.029644268775,2798.195,0.16,-0.24
1980,October,5529.970355731225,2798.165,0.17,-0.42
1980,November,5542.4891089108905,2798.957,0.48,-0.5
1980,December,5537.737154150197,2802.095,0.36,-0.42
1981,January,5548.626482213439,2807.605,0.6,-0.19
1981,February,5550.694280078896,2814.202,0.55,0.15
1981,March,5551.65157480315,2820.239,0.7,0.5
1981,April,5559.47440944882,2824.213,0.77,0.78
1981,May,5561.8759842519685,2825.433,0.72,0.92
1981,June,5559.757874015748,2824.357,0.73,0.93
1981,July,5565.431952662721,2821.674,0.84,0.84
1981,August,5568.731225296442,2817.778,0.71,0.71
1981,September,5571.0039603960395,2813.357,0.74,0.54
1981,October,5574.488095238095,2809.542,0.81,0.41
1981,November,5578.584493041749,2806.028,0.65,0.25
1981,December,5583.243027888446,2802.788,0.82,0.02
1982,January,5590.431137724551,2800.806,0.75,-0.24
1982,February,5589.686626746507,2800.433,0.7,-0.49
1982,March,5590.363273453094,2800.772,0.7,-0.69
1982,April,5590.37125748503,2800.776,0.56,-0.83
1982,May,5599.242,2799.621,0.67,-0.91
1982,June,5604.396793587174,2796.594,0.8,-0.98
1982,July,5605.6706827309235,2791.624,0.72,-1.06
1982,August,5615.538306451613,2785.307,0.84,-1.15
1982,September,5612.133333333333,2778.006,0.74,-1.26
1982,October,5618.742393509127,2770.04,0.79,-1.41
1982,November,5626.191446028513,2762.46,0.85,-1.55
1982,December,5633.7586912065435,2754.908,0.9,-1.71
1983,January,5641.566735112936,2747.443,0.91,-1.91
1983,February,5641.991769547325,2742.008,0.94,-2.09
1983,March,5649.841237113402,2740.173,1.06,-2.16
1983,April,5656.432989690722,2743.37,1.18,-2.05
1983,May,5660.170781893004,2750.843,1.09,-1.74
1983,June,5669.244353182751,2760.922,1.16,-1.28
1983,July,5669.053169734151,2772.167,1.13,-0.7
1983,August,5678.685714285714,2782.556,1.12,-0.1
1983,September,5683.299389002037,2790.5,1.27,0.45
1983,October,5682.623983739837,2795.851,1.14,0.93
1983,November,5688.380081300812,2798.683,1.11,1.31
1983,December,5692.810975609756,2800.863,1.05,1.67
1984,January,5699.30487804878,2804.058,1.02,2.06
