year,month,employment,difference,percent change
1990.0,January,3562.7,n/a,n/a
1990.0,February,3573.1,n/a,n/a
1990.0,March,3598.6,n/a,n/a
1990.0,April,3588.7,n/a,n/a
1990.0,May,3610.4,n/a,n/a
1990.0,June,3613.1,n/a,n/a
1990.0,July,3555.5,n/a,n/a
1990.0,August,3560.4,n/a,n/a
1990.0,September,3562.7,n/a,n/a
1990.0,October,3549.7,n/a,n/a
1990.0,November,3558.1,n/a,n/a
1990.0,December,3563.1,n/a,n/a
1990.0,Annual,3574.7,n/a,n/a
1991.0,January,3397.0,-165.7,-4.65
1991.0,February,3397.4,-175.7,-4.92
1991.0,March,3417.5,-181.1,-5.03
1991.0,April,3404.8,-183.9,-5.12
1991.0,May,3405.6,-204.8,-5.67
1991.0,June,3413.4,-199.7,-5.53
1991.0,July,3346.5,-209.0,-5.88
1991.0,August,3342.0,-218.4,-6.13
1991.0,September,3348.0,-214.7,-6.03
1991.0,October,3367.1,-182.6,-5.14
1991.0,November,3380.8,-177.3,-4.98
1991.0,December,3380.2,-182.9,-5.13
1991.0,Annual,3383.4,-191.3,-5.35
1992.0,January,3267.3,-129.7,-3.82
1992.0,February,3269.0,-128.4,-3.78
1992.0,March,3292.6,-124.9,-3.65
1992.0,April,3300.1,-104.7,-3.08
1992.0,May,3302.1,-103.5,-3.04
1992.0,June,3304.5,-108.9,-3.19
1992.0,July,3283.7,-62.8,-1.88
1992.0,August,3272.6,-69.4,-2.08
1992.0,September,3271.0,-77.0,-2.3
1992.0,October,3295.7,-71.4,-2.12
1992.0,November,3306.8,-74.0,-2.19
1992.0,December,3325.2,-55.0,-1.63
1992.0,Annual,3290.9,-92.5,-2.73
1993.0,January,3232.2,-35.1,-1.07
1993.0,February,3251.6,-17.4,-0.53
1993.0,March,3274.3,-18.3,-0.56
1993.0,April,3288.6,-11.5,-0.35
1993.0,May,3295.6,-6.5,-0.2
1993.0,June,3305.9,1.4,0.04
1993.0,July,3314.3,30.6,0.93
1993.0,August,3295.2,22.6,0.69
1993.0,September,3293.7,22.7,0.69
1993.0,October,3326.6,30.9,0.94
1993.0,November,3348.9,42.1,1.27
1993.0,December,3370.8,45.6,1.37
1993.0,Annual,3299.8,8.9,0.27
1994.0,January,3263.3,31.1,0.96
1994.0,February,3281.1,29.5,0.91
1994.0,March,3315.2,40.9,1.25
1994.0,April,3327.4,38.8,1.18
1994.0,May,3335.4,39.8,1.21
1994.0,June,3344.0,38.1,1.15
1994.0,July,3326.3,12.0,0.36
1994.0,August,3320.5,25.3,0.77
1994.0,September,3315.6,21.9,0.66
1994.0,October,3360.6,34.0,1.02
1994.0,November,3384.8,35.9,1.07
1994.0,December,3401.3,30.5,0.9
1994.0,Annual,3331.3,31.5,0.95
1995.0,January,3292.4,29.1,0.89
1995.0,February,3309.1,28.0,0.85
1995.0,March,3335.8,20.6,0.62
1995.0,April,3340.9,13.5,0.41
1995.0,May,3351.4,16.0,0.48
1995.0,June,3360.1,16.1,0.48
1995.0,July,3343.7,17.4,0.52
1995.0,August,3338.5,18.0,0.54
1995.0,September,3335.4,19.8,0.6
1995.0,October,3368.7,8.1,0.24
1995.0,November,3397.7,12.9,0.38
1995.0,December,3412.5,11.2,0.33
1995.0,Annual,3348.9,17.6,0.53
1996.0,January,3288.2,-4.2,-0.13
1996.0,February,3330.9,21.8,0.66
1996.0,March,3356.7,20.9,0.63
1996.0,April,3363.3,22.4,0.67
1996.0,May,3381.1,29.7,0.89
1996.0,June,3393.4,33.3,0.99
1996.0,July,3373.6,29.9,0.89
1996.0,August,3369.1,30.6,0.92
1996.0,September,3367.9,32.5,0.97
1996.0,October,3419.4,50.7,1.51
1996.0,November,3447.9,50.2,1.48
1996.0,December,3467.4,54.9,1.61
1996.0,Annual,3379.9,31.0,0.93
1997.0,January,3363.5,75.3,2.29
1997.0,February,3381.9,51.0,1.53
1997.0,March,3419.8,63.1,1.88
1997.0,April,3425.4,62.1,1.85
1997.0,May,3436.3,55.2,1.63
1997.0,June,3450.5,57.1,1.68
1997.0,July,3461.2,87.6,2.6
1997.0,August,3450.3,81.2,2.41
1997.0,September,3454.6,86.7,2.57
1997.0,October,3506.1,86.7,2.54
1997.0,November,3528.5,80.6,2.34
1997.0,December,3558.7,91.3,2.63
1997.0,Annual,3453.1,73.2,2.17
1998.0,January,3447.1,83.6,2.49
1998.0,February,3471.7,89.8,2.66
1998.0,March,3504.6,84.8,2.48
1998.0,April,3515.6,90.2,2.63
