YEAR,Labor Force (000's),Employment (000's),Emp/Pop (%),Unemployed (000's),Unemp Rate (%),LFPART (%),,
Jan-76,3066.605,2723.016,47.8,343.589,11.2,53.8568,,
Feb-76,3065.43,2722.421,47.8,343.009,11.2,53.8551,,
Mar-76,3064.867,2722.931,47.9,341.936,11.2,53.8641,,
Apr-76,3067.313,2726.299,47.9,341.014,11.1,53.9166,,
May-76,3071.973,2730.681,48,341.292,11.1,54.0175,,
Jun-76,3077.212,2735.049,48.1,342.163,11.1,54.1286,,
Jul-76,3081.073,2737.981,48.2,343.092,11.1,54.2156,,
Aug-76,3082.731,2739.158,48.3,343.573,11.1,54.3021,,
Sep-76,3081.83,2739.239,48.3,342.591,11.1,54.3341,,
Oct-76,3079.423,2738.977,48.3,340.446,11.1,54.3492,,
Nov-76,3076.833,2739.097,48.4,337.736,11,54.361,,
Dec-76,3074.891,2740.292,48.5,334.599,10.9,54.3843,,
Jan-77,3074.06,2742.616,48.6,331.444,10.8,54.4178,,
Feb-77,3072.906,2745.433,48.7,327.473,10.7,54.4552,,
Mar-77,3070.256,2748.001,48.7,322.255,10.5,54.4661,,
Apr-77,3066.318,2749.662,48.8,316.656,10.3,54.4542,,
May-77,3061.884,2750.138,48.9,311.746,10.2,54.4238,,
Jun-77,3057.869,2749.33,48.9,308.539,10.1,54.4105,,
Jul-77,3054.913,2747.823,48.9,307.09,10.1,54.416,,
Aug-77,3053.95,2747.108,49,306.842,10,54.4473,,
Sep-77,3054.635,2747.754,49,306.881,10,54.4984,,
Oct-77,3055.174,2749.35,49.1,305.824,10,54.5567,,
Nov-77,3054.758,2751.768,49.2,302.99,9.9,54.598,,
Dec-77,3053.551,2754.761,49.3,298.79,9.8,54.6252,,
Jan-78,3052.301,2758.836,49.4,293.465,9.6,54.642,,
Feb-78,3052.029,2764.189,49.5,287.84,9.4,54.6861,,
Mar-78,3052.822,2770.144,49.7,282.678,9.3,54.7493,,
Apr-78,3054.195,2775.954,49.8,278.241,9.1,54.8231,,
May-78,3056.271,2781.38,50,274.891,9,54.8998,,
Jun-78,3058.314,2786.035,50.1,272.279,8.9,54.9859,,
Jul-78,3059.865,2789.656,50.2,270.209,8.8,55.0633,,
Aug-78,3060.853,2792.099,50.3,268.754,8.8,55.1108,,
Sep-78,3061.553,2794.154,50.3,267.399,8.7,55.1532,,
Oct-78,3062.997,2796.795,50.4,266.202,8.7,55.209,,
Nov-78,3065.284,2800.067,50.5,265.217,8.7,55.2801,,
Dec-78,3066.958,2802.704,50.6,264.254,8.6,55.3403,,
Jan-79,3066.675,2803.072,50.6,263.603,8.6,55.3651,,
Feb-79,3064.349,2800.882,50.6,263.467,8.6,55.3531,,
Mar-79,3061.28,2797.304,50.6,263.976,8.6,55.3277,,
Apr-79,3059.125,2793.895,50.5,265.23,8.7,55.3187,,
May-79,3058.767,2791.929,50.5,266.838,8.7,55.3423,,
Jun-79,3060.392,2792.038,50.5,268.354,8.8,55.4017,,
Jul-79,3063.536,2794.688,50.6,268.848,8.8,55.4888,,
Aug-79,3067.263,2799.387,50.7,267.876,8.7,55.5664,,
Sep-79,3070.936,2804.861,50.8,266.075,8.7,55.643,,
Oct-79,3073.24,2809.848,50.9,263.392,8.6,55.6948,,
Nov-79,3073.107,2813.059,51,260.048,8.5,55.7025,,
Dec-79,3071.405,2814.008,51,257.397,8.4,55.6717,,
Jan-80,3068.767,2812.829,51,255.938,8.3,55.6339,,
Feb-80,3065.588,2809.872,50.9,255.716,8.3,55.5864,,
Mar-80,3062.745,2806.124,50.9,256.621,8.4,55.5449,,
Apr-80,3060.226,2802.494,50.8,257.732,8.4,55.5093,,
May-80,3058.244,2799.763,50.7,258.481,8.5,55.4331,,
Jun-80,3057.311,2798.455,50.7,258.856,8.5,55.3861,,
Jul-80,3056.925,2798.04,50.7,258.885,8.5,55.339,,
Aug-80,3056.559,2797.998,50.6,258.561,8.5,55.3023,,
Sep-80,3056.587,2798.195,50.6,258.392,8.5,55.2628,,
Oct-80,3057.812,2798.165,50.6,259.647,8.5,55.255,,
Nov-80,3061.766,2798.957,50.5,262.809,8.6,55.2865,,
Dec-80,3069.233,2802.095,50.6,267.138,8.7,55.3913,,
Jan-81,3079.68,2807.605,50.6,272.075,8.8,55.5398,,
Feb-81,3090.801,2814.202,50.7,276.599,8.9,55.7102,,
Mar-81,3099.106,2820.239,50.8,278.867,9,55.8196,,
Apr-81,3102.234,2824.213,50.8,278.021,9,55.8458,,
May-81,3099.847,2825.433,50.8,274.414,8.9,55.7627,,
Jun-81,3093.862,2824.357,50.8,269.505,8.7,55.625,,
Jul-81,3087.531,2821.674,50.7,265.857,8.6,55.4713,,
Aug-81,3083.186,2817.778,50.6,265.408,8.6,55.3634,,
Sep-81,3081.423,2813.357,50.5,268.066,8.7,55.3019,,
Oct-81,3082.355,2809.542,50.4,272.813,8.9,55.2889,,
Nov-81,3084.362,2806.028,50.3,278.334,9,55.2852,,
Dec-81,3086.199,2802.788,50.2,283.411,9.2,55.2884,,
Jan-82,3087.909,2800.806,50.1,287.103,9.3,55.2794,,
Feb-82,3089.969,2800.433,50.1,289.536,9.4,55.2866,,
Mar-82,3092.193,2800.772,50.1,291.421,9.4,55.2967,,
Apr-82,3094.136,2800.776,50.1,293.36,9.5,55.3018,,
May-82,3095.008,2799.621,50,295.387,9.5,55.2779,,
Jun-82,3094.105,2796.594,49.9,297.511,9.6,55.2321,,
Jul-82,3091.5,2791.624,49.8,299.876,9.7,55.1561,,
Aug-82,3087.993,2785.307,49.6,302.686,9.8,55.0346,,
Sep-82,3084.134,2778.006,49.5,306.128,9.9,54.9169,,
Oct-82,3079.947,2770.04,49.3,309.907,10.1,54.7838,,
Nov-82,3075.649,2762.46,49.1,313.189,10.2,54.6588,,
Dec-82,3069.814,2754.908,48.9,314.906,10.3,54.497,,
Jan-83,3062.19,2747.443,48.7,314.747,10.3,54.3134,,
Feb-83,3054.879,2742.008,48.6,312.871,10.2,54.1261,,
Mar-83,3050.385,2740.173,48.5,310.212,10.2,53.9987,,
Apr-83,3051.562,2743.37,48.5,308.192,10.1,53.9622,,
May-83,3058.089,2750.843,48.6,307.246,10,54.0298,,
Jun-83,3067.486,2760.922,48.7,306.564,10,54.1385,,
Jul-83,3077.151,2772.167,48.9,304.984,9.9,54.2612,,
Aug-83,3084.423,2782.556,49,301.867,9.8,54.3415,,
Sep-83,3087.766,2790.5,49.1,297.266,9.6,54.3621,,
Oct-83,3087.303,2795.851,49.2,291.452,9.4,54.3157,,
Nov-83,3083.778,2798.683,49.2,285.095,9.2,54.206,,
Dec-83,3079.965,2800.863,49.2,279.102,9.1,54.1009,,
Jan-84,3077.803,2804.058,49.2,273.745,8.9,54.0155,,
Feb-84,3078.049,2808.242,49.3,269.807,8.8,53.9819,,
Mar-84,3081.56,2813.052,49.3,268.508,8.7,53.9961,,
Apr-84,3086.736,2816.901,49.3,269.835,8.7,54.049,,
May-84,3092.752,2819.217,49.3,273.535,8.8,54.1164,,
Jun-84,3098.349,2819.898,49.3,278.451,9,54.1669,,
Jul-84,3101.427,2818.986,49.2,282.441,9.1,54.1829,,
Aug-84,3102.218,2818.123,49.2,284.095,9.2,54.1778,,
Sep-84,3102.274,2819.185,49.2,283.089,9.1,54.1598,,
Oct-84,3103.086,2823.11,49.3,279.976,9,54.1551,,
Nov-84,3106.774,2830.5,49.4,276.274,8.9,54.1911,,
