year,month,housing price,annual housing price change
2000,January,120501.1598,n/a
2000,February,120974.3236,n/a
2000,March,121437.2224,n/a
2000,April,122397.8292,n/a
2000,May,123404.5797,n/a
2000,June,124528.3539,n/a
2000,July,125773.4309,n/a
2000,August,127113.3353,n/a
2000,September,128525.3454,n/a
2000,October,129928.3203,n/a
2000,November,131281.9364,n/a
2000,December,132561.9627,n/a
2001,January,133788.4034,11.03
2001,February,135058.7052,11.64
2001,March,136294.2786,12.23
2001,April,137557.5972,12.39
2001,May,138805.3098,12.48
2001,June,140166.6006,12.56
2001,July,141577.2558,12.57
2001,August,143101.2362,12.58
2001,September,144674.1938,12.56
2001,October,146351.518,12.64
2001,November,147936.2376,12.69
2001,December,149449.4579,12.74
2002,January,150957.7865,12.83
2002,February,152469.7879,12.89
2002,March,153960.7099,12.96
2002,April,155401.8329,12.97
2002,May,156892.3172,13.03
2002,June,158538.5982,13.11
2002,July,160347.1527,13.26
2002,August,162521.806,13.57
2002,September,164909.1297,13.99
2002,October,167379.9396,14.37
2002,November,169666.2186,14.69
2002,December,171827.0808,14.97
2003,January,173929.1053,15.22
2003,February,176044.6401,15.46
2003,March,178292.4995,15.8
2003,April,180481.9748,16.14
2003,May,182689.2809,16.44
2003,June,184883.3926,16.62
2003,July,187214.7935,16.76
2003,August,189594.4722,16.66
2003,September,191836.9268,16.33
2003,October,193907.4445,15.85
2003,November,195787.8298,15.4
2003,December,197583.6575,14.99
2004,January,199457.8271,14.68
2004,February,201337.3828,14.37
2004,March,203294.5359,14.02
2004,April,205292.575,13.75
2004,May,207582.398,13.63
2004,June,210113.8668,13.65
2004,July,212860.5873,13.7
2004,August,215660.8487,13.75
2004,September,218588.3683,13.94
2004,October,221522.9825,14.24
2004,November,224390.3783,14.61
2004,December,227057.8952,14.92
2005,January,229610.7788,15.12
2005,February,232052.2712,15.26
2005,March,234553.0406,15.38
2005,April,237386.0387,15.63
2005,May,240483.1535,15.85
2005,June,243626.8766,15.95
2005,July,246631.1415,15.87
2005,August,249601.7823,15.74
2005,September,252529.3869,15.53
2005,October,255463.7356,15.32
2005,November,258208.89,15.07
2005,December,260869.6226,14.89
2006,January,263211.3028,14.63
2006,February,265494.9783,14.41
2006,March,267502.8201,14.05
2006,April,269437.9781,13.5
2006,May,271171.6191,12.76
2006,June,272811.4562,11.98
2006,July,274010.4931,11.1
2006,August,274693.9816,10.05
2006,September,274834.8951,8.83
2006,October,274536.6421,7.47
2006,November,273956.1825,6.1
2006,December,273184.9708,4.72
2007,January,272378.9881,3.48
2007,February,271771.136,2.36
2007,March,271613.3842,1.54
2007,April,271647.1213,0.82
2007,May,271633.0145,0.17
2007,June,271102.9677,-0.63
2007,July,270189.9488,-1.39
2007,August,269144.9655,-2.02
2007,September,268069.9158,-2.46
2007,October,267222.7722,-2.66
2007,November,266377.7894,-2.77
2007,December,265538.8152,-2.8
2008,January,264849.1456,-2.76
2008,February,264245.4349,-2.77
2008,March,263458.9566,-3.0
2008,April,262346.3359,-3.42
2008,May,260650.5956,-4.04
2008,June,258836.1854,-4.52
2008,July,256929.5839,-4.91
2008,August,255106.6112,-5.22
2008,September,253230.8565,-5.54
2008,October,251183.9302,-6.0
2008,November,249089.6777,-6.49
2008,December,247147.8131,-6.93
2009,January,245254.8301,-7.4
2009,February,243409.0793,-7.89
2009,March,241550.6047,-8.32
2009,April,239662.2189,-8.65
2009,May,237969.4075,-8.7
2009,June,236310.2318,-8.7
2009,July,234745.8898,-8.63
2009,August,233183.6333,-8.59
2009,September,231873.8974,-8.43
2009,October,230844.5036,-8.1
2009,November,230111.1,-7.62
2009,December,229674.2949,-7.07
2010,January,229519.9383,-6.42
2010,February,229624.3712,-5.66
2010,March,229602.6269,-4.95
2010,April,229553.298,-4.22
2010,May,229421.2309,-3.59
2010,June,229471.2297,-2.89
2010,July,229498.4453,-2.24
2010,August,229312.5704,-1.66
2010,September,228801.2073,-1.33
2010,October,227927.3563,-1.26
2010,November,226837.8673,-1.42
2010,December,225666.9073,-1.74
2011,January,224748.4941,-2.08
2011,February,224010.0055,-2.45
2011,March,223472.0869,-2.67
2011,April,222774.651,-2.95
2011,May,222012.8374,-3.23
2011,June,221013.4988,-3.69
2011,July,219939.8491,-4.16
2011,August,218883.732,-4.55
2011,September,217872.5534,-4.78
2011,October,216923.4217,-4.83
2011,November,215890.376,-4.83
2011,December,214918.38,-4.76
2012,January,214047.4946,-4.76
2012,February,213508.5658,-4.69
2012,March,213381.1752,-4.52
2012,April,213434.6691,-4.19
2012,May,213636.3551,-3.77
2012,June,213695.6131,-3.31
2012,July,213841.2418,-2.77
2012,August,213483.139,-2.47
2012,September,213235.1565,-2.13
2012,October,212883.4218,-1.86
2012,November,212925.8719,-1.37
2012,December,213063.0916,-0.86
2013,January,213564.9083,-0.23
2013,February,214114.1948,0.28
2013,March,214590.6405,0.57
2013,April,215016.4767,0.74
2013,May,215685.0721,0.96
2013,June,216643.6559,1.38
2013,July,217701.0521,1.8
2013,August,218921.768,2.55
2013,September,220155.9362,3.25
2013,October,221392.3686,4.0
2013,November,222184.6112,4.35
2013,December,222759.4673,4.55
2014,January,223464.6397,4.64
2014,February,224584.1935,4.89
2014,March,226170.1629,5.4
2014,April,227783.8002,5.94
2014,May,229515.5353,6.41
2014,June,230642.6707,6.46
2014,July,231469.9554,6.32
2014,August,231905.0931,5.93
2014,September,232468.1365,5.59
2014,October,232970.2258,5.23
2014,November,233467.6933,5.08
2014,December,233779.494,4.95
2015,January,233851.9731,4.65
2015,February,233858.9428,4.13
2015,March,234096.8091,3.5
2015,April,234500.7129,2.95
2015,May,235335.9431,2.54
2015,June,236083.7277,2.36
2015,July,236991.6736,2.39
2015,August,237982.7893,2.62
2015,September,239471.9049,3.01
2015,October,241297.3232,3.57
2015,November,242962.1224,4.07
2015,December,244328.0998,4.51
2016,January,245287.0713,4.89
2016,February,245972.0847,5.18
2016,March,246348.1801,5.23
2016,April,246957.976,5.31
2016,May,247862.9786,5.32
2016,June,249095.388,5.51
2016,July,250010.2723,5.49
2016,August,250686.2518,5.34
2016,September,251139.3752,4.87
2016,October,251763.3058,4.34
2016,November,252611.8838,3.97
2016,December,253959.7528,3.94
2017,January,255320.2848,4.09
2017,February,256968.0535,4.47
2017,March,258561.5515,4.96
2017,April,260557.5161,5.51
2017,May,262204.6892,5.79
2017,June,263694.8211,5.86
2017,July,264812.174,5.92
2017,August,266049.3073,6.13
2017,September,267253.4615,6.42
2017,October,268876.2207,6.8
2017,November,270401.3671,7.04
2017,December,271972.023,7.09
2018,January,273371.8719,7.07
2018,February,274661.3305,6.89
2018,March,276341.0481,6.88
2018,April,278078.9287,6.72
2018,May,280173.2066,6.85
2018,June,282022.612,6.95
2018,July,284116.8286,7.29
2018,August,286069.2354,7.52
2018,September,287960.0341,7.75
2018,October,289242.6291,7.57
2018,November,290490.5869,7.43
2018,December,291587.4621,7.21
2019,January,293069.9691,7.21
2019,February,294848.4944,7.35
2019,March,296833.0935,7.42
2019,April,298768.8935,7.44
2019,May,300191.9495,7.15
2019,June,301519.5105,6.91
2019,July,302536.9437,6.48
2019,August,303576.3455,6.12
2019,September,304131.0677,5.62
2019,October,304890.885,5.41
2019,November,306460.9309,5.5
2019,December,308487.9739,5.8
2020,January,311062.0601,6.14
2020,February,313191.2915,6.22
2020,March,315496.2667,6.29
2020,April,317598.6456,6.3
2020,May,319301.9492,6.37
2020,June,320160.8471,6.18
2020,July,320368.9169,5.89
2020,August,321021.6154,5.75
2020,September,323364.3255,6.32
2020,October,326957.3385,7.24
2020,November,331461.9327,8.16
2020,December,336321.5026,9.02
2021,January,340926.7602,9.6
2021,February,345711.7052,10.38
2021,March,350168.8738,10.99
2021,April,354332.0842,11.57
2021,May,358259.0237,12.2
2021,June,361727.9009,12.98
2021,July,364740.705,13.85
2021,August,366438.6913,14.15
2021,September,367193.4735,13.55
2021,October,368309.0143,12.65
2021,November,370281.7694,11.71
2021,December,372765.027,10.84
2022,January,375844.4851,10.24
2022,February,379681.4863,9.83
2022,March,384620.5632,9.84
2022,April,389425.965,9.9
2022,May,393731.0174,9.9
2022,June,397435.1922,9.87
2022,July,399638.5396,9.57
2022,August,399756.4063,9.09
2022,September,398197.2803,8.44
2022,October,396834.9255,7.75
2022,November,395909.3766,6.92
2022,December,395161.4048,6.01
2023,January,394983.4003,5.09
2023,February,394937.2479,4.02
2023,March,396339.569,3.05
2023,April,398725.5631,2.39
2023,May,402363.3697,2.19
2023,June,405980.5964,2.15
2023,July,409178.5393,2.39
2023,August,412091.6552,3.09
2023,September,414609.8931,4.12
2023,October,416871.2079,5.05
2023,November,419087.3027,5.85
2023,December,421595.0376,6.69
2024,January,424192.3304,7.39
2024,February,427407.0371,8.22
2024,March,431387.6081,8.84
2024,April,435741.2209,9.28
2024,May,439262.8884,9.17
2024,June,441956.0026,8.86
2024,July,444704.173,8.68
2024,August,448088.9907,8.74
2024,September,451399.6886,8.87
2024,October,454151.1624,8.94
2024,November,456535.0038,8.94
2024,December,458682.3353,8.8
